k,silhouette,ari_vs_difficulty,ari_vs_domain,inertia
3,0.08626123517751694,0.03866792391970769,0.2442172738628096,1321.5103759765625
4,0.09679224342107773,0.0438863454937879,0.26488336089302633,1274.3773193359375
5,0.076412133872509,0.09735723037087009,0.4007242926467759,1232.7410888671875
6,0.08269138634204865,0.05954798492984067,0.48882564093246067,1199.2679443359375
7,0.07657895237207413,0.06156521347092461,0.42937631354244,1177.8363037109375
8,0.06211390346288681,0.05166760300784747,0.4706270645700943,1156.88623046875
9,0.062386076897382736,0.05175099633204036,0.5214214783436191,1144.145751953125
10,0.06016570329666138,0.0421175620772733,0.5160087249173346,1132.1055908203125
11,0.05332827940583229,0.06089105619532351,0.47522659616442336,1121.5555419921875
