domain,n_communities,modularity,largest_community_frac
healthcare,7,0.4519350907952929,0.2440944881889764
literature,6,0.31114944023549035,0.32098765432098764
amazon,5,0.2707540540313324,0.3008849557522124
computer_science,6,0.25209822015577965,0.3467741935483871
legal,5,0.22958240850847786,0.4642857142857143
physics,4,0.22167662233616411,0.2748091603053435
chemistry,5,0.18090350094407281,0.27388535031847133
materials_science,4,0.17062121155730803,0.3473053892215569
biology,5,0.16347011332182054,0.2602739726027397
medicine,4,0.15878223174871842,0.2987012987012987
