domain,n_questions,nodes,edges,density,avg_clustering,n_components,largest_component_frac,avg_degree
legal,180,364,15668,0.23715678261132805,0.5889911613240847,1,1.0,86.08791208791209
materials_science,140,167,4746,0.3423995382728519,0.6940593956390225,1,1.0,56.83832335329341
chemistry,140,157,3951,0.3226359627633513,0.704879701829265,1,1.0,50.3312101910828
medicine,140,154,4133,0.3508191155249979,0.7188850642127143,1,1.0,53.675324675324674
biology,140,146,3520,0.33254605573925367,0.7229318164306705,1,1.0,48.21917808219178
physics,140,131,2448,0.287492660011744,0.6927649196422762,1,1.0,37.37404580152672
healthcare,270,127,693,0.08661417322834646,0.6533852313768393,1,1.0,10.913385826771654
computer_science,150,124,1723,0.22593758195646474,0.592169000131899,2,0.9758064516129032,27.79032258064516
amazon,200,113,1210,0.19121365360303413,0.6172862220261376,1,1.0,21.41592920353982
literature,240,81,434,0.1339506172839506,0.6862928955767591,1,1.0,10.716049382716049
