model,biomedical,goodreads,amazon,legal,avg_ood_rougeL
gpt-4o-mini,0.4788,0.4421,0.4834,0.4497,0.4635
Qwen3-8B,0.3415,0.5005,0.4567,0.5173,0.454
old-server-old-curriculum,0.3619,0.4902,0.493,0.3693,0.4286
gpt-5-mini,0.4177,0.4229,0.3739,0.497,0.4279
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-150_400steps-H100_v2,0.326,0.4623,0.4895,,0.4259
ppo-format-e2h_gaussian_mix_newCurriculum_200steps-v3-t2,0.3155,0.4382,0.4887,0.3825,0.4062
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-oldCurriculum-originalEnv-200steps,0.2731,0.4547,0.4482,0.4271,0.4008
Qwen3-14B,0.3882,0.4803,0.3991,0.3266,0.3985
old-server-vanilla,0.289,0.4694,0.4323,0.3849,0.3939
ppo-format-vanilla,0.2709,0.4736,0.4566,0.3384,0.3849
ppo-format-e2h_gaussian_mix_newCurriculum_200steps_v2,0.262,0.4523,0.452,0.2938,0.365
curriculum_rl-grpo-150steps,0.2928,0.4234,0.4353,0.3036,0.3638
qwen25_3b-instruct-baseline,0.2747,0.436,0.4358,0.3068,0.3633
Qwen25-3B-Instruct-new,0.2595,0.4284,0.4282,0.3364,0.3631
ppo-format-e2h_gaussian_beta_0.75_sigma_0.75-graph_aware_newCurriculum-400steps-H100_v2,0.1616,0.403,0.4514,0.2993,0.3288
curriculum_rl-grpo-curriculum-200steps,0.1987,0.3942,0.4386,0.2399,0.3179
ppo-format-e2h_gaussian_mix_newCurriculum_200steps,0.1533,0.3629,0.3887,0.2194,0.2811
gpt-4o-mini-v1,0.3682,0.2546,0.1536,0.2198,0.249
gpt-4o-mini-v0,0.3864,0.2256,0.1264,0.229,0.2418
